"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"660",660,660,660,1,8,56,13,3154290.09418683
"661",661,661,661,1,15,28,7,732068.259755513
"662",662,662,662,2,29,14,4,522.077937140371
"663",663,663,663,2,25,20,5,76116.5798174617
"664",664,664,664,2,17,122,28,9346019.38010152
"665",665,665,665,2,16,132,31,10733685.9310097
"666",666,666,666,2,6,93,22,7081676.62131888
"667",667,667,667,2,11,98,23,6208099.68452087
"668",668,668,668,2,20,126,29,8559807.26387704
"669",669,669,669,2,29,145,34,11103601.8959466
"670",670,670,670,1,17,68,16,3769038.20228927
"671",671,671,671,1,2,94,22,6933192.17088248
"672",672,672,672,1,22,37,9,1509318.31529781
"673",673,673,673,1,1,10,3,10873.5314142295
"674",674,674,674,2,12,3,1,1.97925201119952e-27
"675",675,675,675,1,15,47,11,2518216.37479389
"676",676,676,676,1,5,119,28,8388076.5535267
"677",677,677,677,2,9,87,20,5576631.92283487
"678",678,678,678,1,10,75,18,4204638.95587743
"679",679,679,679,1,22,140,32,10996034.7877274
"680",680,680,680,1,9,6,2,183.809688694977
"681",681,681,681,2,14,69,16,5085292.48565624
"682",682,682,682,2,27,34,8,777187.801373641
"683",683,683,683,2,2,150,35,10835223.6885026
"684",684,684,684,1,23,93,22,6337366.75529186
"685",685,685,685,1,11,37,9,1266578.52447395
"686",686,686,686,2,19,17,4,12740.9890447151
"687",687,687,687,2,8,119,28,8818719.47487034
"688",688,688,688,1,6,67,16,4711847.99807608
"689",689,689,689,2,9,72,17,3993077.74241
"690",690,690,690,2,6,144,33,10871875.8893712
"691",691,691,691,2,21,57,14,2786821.88774892
"692",692,692,692,1,20,144,33,10337318.8274972
"693",693,693,693,1,2,52,12,3379454.17713811
"694",694,694,694,2,2,104,24,7001889.1355951
"695",695,695,695,2,5,19,5,10076.6398771106
"696",696,696,696,2,18,87,20,6453484.25225689
"697",697,697,697,1,14,110,26,6904914.00107656
"698",698,698,698,1,14,134,31,10608463.9592518
"699",699,699,699,1,25,34,8,1299322.05857433
"700",700,700,700,2,18,133,31,9149274.63091959
"701",701,701,701,1,14,36,9,1374924.3442823
"702",702,702,702,2,7,12,3,222.117599859071
"703",703,703,703,1,20,83,19,5957721.3771471
"704",704,704,704,1,29,80,19,5450908.37138249
"705",705,705,705,2,15,82,19,5864492.76101942
"706",706,706,706,2,26,31,8,163478.528626756
"707",707,707,707,2,13,24,6,130194.276813648
"708",708,708,708,2,4,5,2,6.22908415981831e-09
"709",709,709,709,1,6,97,23,6081897.80038795
"710",710,710,710,2,20,140,32,11480508.2035899
"711",711,711,711,1,14,141,33,11172295.3657613
"712",712,712,712,1,13,69,16,4299756.60405301
"713",713,713,713,1,19,29,7,762749.707612013
"714",714,714,714,1,5,105,24,7113742.10687586
"715",715,715,715,2,7,40,10,778829.214054259
"716",716,716,716,1,9,118,27,8863012.89505608
"717",717,717,717,1,27,6,2,228.421341267397
"718",718,718,718,2,19,99,23,7535193.67281243
"719",719,719,719,2,4,29,7,391354.30888165
"720",720,720,720,2,10,49,12,1196726.9176754
"721",721,721,721,1,12,19,5,388993.334617105
"722",722,722,722,1,20,84,20,5826836.26193487
"723",723,723,723,2,6,71,17,4424399.89355143
"724",724,724,724,1,13,142,33,10537575.1313818
"725",725,725,725,2,2,41,10,1226194.14335857
"726",726,726,726,2,15,83,19,5276726.59030281
"727",727,727,727,2,16,82,19,5361877.66058469
"728",728,728,728,1,17,87,20,5214457.83268015
"729",729,729,729,1,4,144,33,10813656.5692674
"730",730,730,730,1,12,75,18,5253161.42117577
"731",731,731,731,1,24,138,32,8868612.24793019
"732",732,732,732,1,20,77,18,5243674.44358296
"733",733,733,733,1,17,13,3,113366.810556284
"734",734,734,734,1,24,72,17,4629161.4729082
"735",735,735,735,2,30,27,7,228549.53213898
"736",736,736,736,1,11,123,29,9312412.20754273
"737",737,737,737,2,30,31,8,400990.448076702
