"","X.1","X","algorithm","replicate","instance","group","result"
"1751",1751,1,1,1,6,1,348.825379900453
"1752",1752,2,1,1,10,2,36825.4808067582
"1753",1753,3,1,1,14,3,75994.3389980562
"1754",1754,4,1,1,18,4,227598.722233449
"1755",1755,5,1,1,22,5,413155.168098408
"1756",1756,6,1,1,26,6,655687.300349368
"1757",1757,7,1,1,30,7,980288.234426192
"1758",1758,8,1,1,34,8,1257485.77552439
"1759",1759,9,1,1,38,9,1641211.95304154
"1760",1760,10,1,1,42,10,2064627.84764212
"1761",1761,11,1,1,46,11,2266275.04194246
"1762",1762,12,1,1,50,12,2677613.32081812
"1763",1763,13,1,1,54,13,2309250.78108088
"1764",1764,14,1,1,58,14,3590357.5302075
"1765",1765,15,1,1,62,15,3853850.62133801
"1766",1766,16,1,1,66,16,4553125.65358026
"1767",1767,17,1,1,70,17,3996540.41093941
"1768",1768,18,1,1,74,18,4443084.37404495
"1769",1769,19,1,1,78,19,4361594.51564055
"1770",1770,20,1,1,82,20,5179954.21801072
"1771",1771,21,1,1,86,21,5560208.86312433
"1772",1772,22,1,1,90,22,5226891.71541189
"1773",1773,23,1,1,94,23,5817108.98739547
"1774",1774,24,1,1,98,24,6732194.54137088
"1775",1775,25,1,1,102,25,7029363.04242502
"1776",1776,26,1,1,106,26,7923610.49999441
"1777",1777,27,1,1,110,27,7778553.3168914
"1778",1778,28,1,1,114,28,8903008.96553865
"1779",1779,29,1,1,118,29,8138915.9326156
"1780",1780,30,1,1,122,30,7992923.94961601
"1781",1781,31,1,1,126,31,9853179.19259865
"1782",1782,32,1,1,130,32,10095481.3304613
"1783",1783,33,1,1,134,33,11116333.5106449
"1784",1784,34,1,1,138,34,10394866.5736468
"1785",1785,35,1,1,142,35,10076536.0443844
"1786",1786,1,2,1,6,1,0.0694267343311874
"1787",1787,2,2,1,10,2,0.694555735870595
"1788",1788,3,2,1,14,3,181.007969041302
"1789",1789,4,2,1,18,4,10634.0623373617
"1790",1790,5,2,1,22,5,49677.6059027585
"1791",1791,6,2,1,26,6,104876.998811417
"1792",1792,7,2,1,30,7,291860.740136226
"1793",1793,8,2,1,34,8,619133.896919824
"1794",1794,9,2,1,38,9,467199.458458104
"1795",1795,10,2,1,42,10,1032276.87481705
"1796",1796,11,2,1,46,11,2190355.44536426
"1797",1797,12,2,1,50,12,1311438.46734294
"1798",1798,13,2,1,54,13,1698043.68420928
"1799",1799,14,2,1,58,14,2770322.17950082
"1800",1800,15,2,1,62,15,4240919.12083478
"1801",1801,16,2,1,66,16,4142397.50180336
"1802",1802,17,2,1,70,17,4156062.18904868
"1803",1803,18,2,1,74,18,4364602.24222836
"1804",1804,19,2,1,78,19,4723604.48976272
"1805",1805,20,2,1,82,20,5011389.6830649
"1806",1806,21,2,1,86,21,6300498.87617338
"1807",1807,22,2,1,90,22,5130358.15190704
"1808",1808,23,2,1,94,23,6473459.31621465
"1809",1809,24,2,1,98,24,6507648.59157416
